date,observers,plot.code,burn,severity,line.cover.cm,angle.degrees,shape,num.pieces,diameter1.width.cm,diameter2.height.cm,decay.class
7/13/2016,SN,DM101,D,FM,70,0,R,1,10,NA,2
7/13/2016,SN,DL107,D,FL,13,0,R,1,13,NA,1
7/13/2016,SN,DL107,D,FL,13,0,R,1,13,NA,1
7/13/2016,SN,DL107,D,FL,28,0,R,1,20,NA,1
7/13/2016,SN,DL107,D,FL,10,0,R,1,10,NA,1
7/13/2016,SN,DM100,D,FM,43,0,R,1,24,NA,2
7/13/2016,SN,DM100,D,FM,125,0,R,1,41,NA,3
6/24/2016,SN,DH49,D,FH,24,0,R,1,22,NA,3
6/24/2016,SN,DH49,D,FH,40,0,A,2,25,25,3
6/24/2016,SN,DH49,D,FH,10,0,R,1,10,NA,3
6/24/2016,SN,DH49,D,FH,16,0,R,1,14,NA,3
6/24/2016,SN,DM45,D,FM,24,0,R,1,24,NA,2
6/24/2016,SN,DM45,D,FM,24,0,R,1,23,NA,2
6/24/2016,SN,DM45,D,FM,16,0,R,1,14,NA,2
6/24/2016,SN,DM45,D,FM,13,0,R,1,12,NA,3
6/24/2016,SN,DM45,D,FM,20,0,R,1,12,NA,3
6/24/2016,SN,DM45,D,FM,30,0,R,1,24,NA,2
6/24/2016,SN,DM45,D,FM,20,0,R,1,13,NA,2
6/24/2016,SN,DM45,D,FM,32,0,R,1,28,NA,2
6/24/2016,SN,DL44,D,FL,44,0,R,1,14,NA,2
6/24/2016,SN,DL44,D,FL,39,0,R,1,38,NA,2
7/2/2016,SN,DH47,D,FH,20,0,R,1,10,NA,2
7/2/2016,SN,DH47,D,FH,19,0,R,1,19,NA,3
7/2/2016,SN,DH47,D,FH,21,30,R,1,14,NA,3
7/2/2016,SN,DH47,D,FH,12,0,R,1,11,NA,3
7/2/2016,SN,DH47,D,FH,28,0,R,1,28,NA,2
7/2/2016,SN,DH46,D,FH,16,0,R,1,16,NA,2
7/2/2016,SN,DH46,D,FH,57,45,R,1,19,NA,2
7/2/2016,SN,DH46,D,FH,16,0,R,1,11,NA,2
7/2/2016,SN,DH46,D,FH,10,30,R,1,10,NA,2
7/2/2016,SN,DH46,D,FH,17,45,R,1,28,NA,3
7/2/2016,SN,DH46,D,FH,35,0,R,1,35,NA,3
7/2/2016,SN,DH46,D,FH,12,0,R,1,11,NA,3
7/2/2016,SN,DH46,D,FH,40,0,R,1,14,NA,2
7/2/2016,SN,DH46,D,FH,40,0,R,1,12,NA,2
7/2/2016,SN,DM103,D,FM,23,0,R,1,19,NA,3
7/2/2016,SN,DM103,D,FM,13,0,R,1,10,NA,3
7/2/2016,SN,DM103,D,FM,94,0,R,1,19,NA,3
7/2/2016,SN,DM103,D,FM,20,0,R,1,20,NA,3
7/2/2016,SN,DM103,D,FM,28,0,R,1,12,NA,4
7/2/2016,SN,DM103,D,FM,13,0,R,1,12,3,4
7/2/2016,SN,DM103,D,FM,19,0,R,1,16,NA,3
7/2/2016,SN,DM103,D,FM,17,0,R,1,17,NA,3
7/2/2016,SN,DM48,D,FM,40,0,R,1,38,NA,2
7/2/2016,SN,DL50,D,FL,55,30,R,1,44,NA,2
7/2/2016,SN,DL50,D,FL,13,0,R,1,10,NA,1
7/2/2016,SN,DL50,D,FL,19,0,R,1,10,NA,1
7/2/2016,SN,DL50,D,FL,15,0,R,1,12,NA,1
7/2/2016,SN,DL50,D,FL,16,0,R,1,13,NA,2
7/2/2016,SN,DL50,D,FL,25,0,R,1,18,NA,1
7/2/2016,SN,DL50,D,FL,22,0,R,1,17,NA,1
7/2/2016,SN,DL50,D,FL,20,0,R,1,20,NA,1
7/2/2016,SN,DL50,D,FL,24,0,R,1,24,NA,3
7/2/2016,SN,DL50,D,FL,16,0,R,1,16,NA,3
7/2/2016,SN,DL50,D,FL,26,0,R,1,25,NA,2
7/2/2016,SN,DL43,D,FL,27,0,R,1,27,NA,2
7/2/2016,SN,DL43,D,FL,84,0,R,1,10,NA,2
7/2/2016,SN,DL43,D,FL,15,0,R,1,15,NA,3
7/2/2016,SN,DL43,D,FL,34,0,R,1,20,NA,3
7/2/2016,SN,DL43,D,FL,12,0,R,1,12,NA,2
7/2/2016,SN,DL43,D,FL,26,0,R,1,20,NA,2
7/2/2016,SN,DH54,D,DH,17,0,R,1,12,NA,3
7/2/2016,SN,DH54,D,DH,16,0,R,1,16,NA,4
7/2/2016,SN,DH54,D,DH,13,0,R,1,13,NA,3
7/2/2016,SN,DH54,D,DH,50,0,R,1,20,NA,3
7/13/2016,SN,DM100,D,FM,14,0,R,1,14,NA,2
7/13/2016,SN,DM100,D,FM,13,0,R,1,13,NA,2
7/13/2016,SN,DM100,D,FM,20,0,R,1,20,NA,3
7/13/2016,SN,DM100,D,FM,21,0,R,1,19,NA,3
7/13/2016,SN,DM100,D,FM,14,0,R,1,14,NA,2
7/13/2016,SN,DM100,D,FM,29,0,R,1,18,NA,3
7/13/2016,SN,DM100,D,FM,20,0,R,1,10,NA,4
7/13/2016,SN,DM100,D,FM,22,0,R,1,18,NA,3
7/13/2016,SN,DM100,D,FM,11,0,R,1,11,NA,3
7/13/2016,SN,DM100,D,FM,14,0,R,1,11,NA,3
7/13/2016,SN,DM104,D,FM,34,0,R,1,34,NA,2
7/13/2016,SN,DM104,D,FM,10,0,R,1,10,NA,3
7/13/2016,SN,DM104,D,FM,15,0,R,1,15,NA,3
7/13/2016,SN,DM104,D,FM,33,0,R,1,20,NA,3
7/13/2016,SN,DM104,D,FM,13,0,R,1,10,NA,3
7/13/2016,SN,DM104,D,FM,46,0,R,1,30,NA,2
7/13/2016,SN,DM104,D,FM,21,0,R,1,21,NA,2
