date,observers,plot.code,burn,severity,line.cover.cm,angle.degrees,shape,num.pieces,diameter1.width.cm,diameter2.height.cm,decay.class
5/9/2016,TD,34,FR,FU,11,0,R,1,10,NA,0
5/9/2016,TD,50,FR,GU,0,0,NA,0,0,0,0
5/9/2016,TD,108,FR,GU,0,0,NA,0,0,0,0
5/9/2016,TD,33,FR,FU,0,0,NA,0,0,0,0
5/9/2016,TD,54,FR,GU,0,0,NA,0,0,0,0
5/9/2016,TD,31,FR,FU,20,0,R,1,16,NA,1
5/9/2016,TD,36,FR,FU,22.5,0,R,1,15.5,NA,2
5/9/2016,TD,53,FR,GU,NA,NA,NA,NA,NA,NA,NA
5/9/2016,TD,52,FR,GU,NA,NA,NA,NA,NA,NA,NA
5/9/2016,TD,51,FR,GU,NA,NA,NA,NA,NA,NA,NA
5/9/2016,TD,110,FR,FM,19,0,O,1,18,2,5
5/9/2016,TD,110,FR,FM,15,0,R,1,14,NA,3
5/9/2016,TD,110,FR,FM,67,0,A,3,67,2,5
5/9/2016,TD,37,FR,FH,20,30,R,1,14,NA,3
5/9/2016,SN,37,FR,FH,12,0,O,1,12,3,5
5/9/2016,SN,37,FR,FH,20,10,S,1,19,34,4
5/9/2016,SN,37,FR,FH,10,0,R,1,10,NA,4
5/9/2016,SN,37,FR,FH,28,0,R,1,26,NA,3
5/9/2016,SN,37,FR,FH,18,0,R,1,11,NA,2
5/9/2016,SN,37,FR,FH,11,0,O,1,11,5,5
5/9/2016,SN,37,FR,FH,25,0,R,1,12,NA,4
5/9/2016,SN,37,FR,FH,74,0,R,1,56,NA,3
5/9/2016,SN,41,FR,FH,50,0,A,2,51,10,5
5/9/2016,SN,41,FR,FH,15,0,R,1,10,NA,4
5/9/2016,SN,41,FR,FH,30,0,S,1,30,15,4
5/9/2016,SN,41,FR,FH,28,0,S,1,17,10,4
5/9/2016,SN,41,FR,FH,37,0,S,1,36,7,5
5/9/2016,SN,41,FR,FH,35,0,S,1,22,8,4
5/9/2016,SN,41,FR,FH,27,0,R,1,25,NA,4
5/9/2016,SN,41,FR,FH,30,0,R,1,27,NA,4
5/9/2016,TD,46,FR,FL,0,0,NA,0,0,0,0
5/9/2016,EK,61,FR,FM,45,0,O,1,43,4,5
5/9/2016,EK,61,FR,FM,27,0,S,1,24,5,5
5/9/2016,EK,61,FR,FM,15,20,R,1,10,NA,3
5/9/2016,TD,213,FR,GB,0,0,NA,0,0,0,0
5/9/2016,SN,44,FR,FL,40,0,O,1,30,3,5
5/9/2016,SN,44,FR,FL,13,0,R,1,11,NA,3
5/9/2016,SN,44,FR,FL,17,0,R,1,12,NA,3
5/9/2016,SN,44,FR,FL,17,0,S,1,15,10,4
5/9/2016,TD,56,FR,GB,0,0,NA,0,0,0,0
5/9/2016,SN,206,FR,FL,80,0,R,1,44,NA,2
5/9/2016,SN,206,FR,FL,14,0,R,1,14,NA,3
5/9/2016,SN,206,FR,FL,20,0,R,1,18,NA,5
5/9/2016,SN,206,FR,FL,13,0,R,1,12,NA,5
5/9/2016,TD,208,FR,FL,14,0,R,1,14,NA,2
5/9/2016,TD,208,FR,FL,10,0,R,1,10,NA,3
5/9/2016,TD,208,FR,FL,17,0,R,1,13,NA,3
5/9/2016,TD,208,FR,FL,32,0,S,1,29,5,4
5/9/2016,TD,208,FR,FL,12,0,R,1,12,NA,2
5/9/2016,TD,208,FR,FL,35,0,R,1,30,NA,2
5/9/2016,TD,208,FR,FL,14,0,R,1,12,NA,2
5/9/2016,TD,208,FR,FL,15,30,R,1,10,NA,1
5/17/2016,EK,62,FR,FM,30,0,S,1,19,9,4
5/17/2016,EK,62,FR,FM,21,0,S,1,21,8,4
5/17/2016,EK,62,FR,FM,45,0,R,1,36,NA,3
5/17/2016,EK,59,FR,GB,NA,NA,NA,NA,NA,NA,NA
5/17/2016,EK,203,FR,FM,65,0,S,1,15,12,5
5/17/2016,EK,203,FR,FM,20,0,R,1,23,NA,4
5/17/2016,EK,66,FR,FM,300,20,A,3,36,20,NA
5/17/2016,EK,58,FR,GB,NA,NA,NA,NA,NA,NA,NA
5/17/2016,EK,205,FR,FM,40,0,S,1,36,6,5
5/17/2016,EK,205,FR,FM,25,0,A,2,17,12,3
5/17/2016,EK,205,FR,FM,45,0,R,1,44,NA,4
5/17/2016,EK,205,FR,FM,40,0,S,1,27,8,5
5/17/2016,EK,212,FR,GB,NA,NA,NA,NA,NA,NA,NA
5/17/2016,EK,211,FR,GB,NA,NA,NA,NA,NA,NA,NA
5/17/2016,EK,109,FR,GB,NA,NA,NA,NA,NA,NA,NA
5/17/2016,EK,39,FR,FH,45,0,R,1,32,NA,4
5/17/2016,EK,39,FR,FH,30,0,R,1,10,NA,4
5/17/2016,EK,39,FR,FH,75,0,O,1,26,4,3
5/17/2016,EK,39,FR,FH,11,0,R,1,10,NA,5
